Preferred Label,Definitions,Parents
electrically signaling cell(CL_0000404),A cell that initiates an electrical signal and passes that signal to another cell.,electrically active cell(CL_0000211)
central nervous system neuron(CL_2000029),Any neuron that is part of a central nervous system.,neuron(CL_0000540)
neuron associated cell(CL_0000095),,neural cell(CL_0002319)
alpha-beta T cell(CL_0000789),A T cell that expresses an alpha-beta T cell receptor complex.,T cell(CL_0000084)
mature T cell(CL_0002419),A T cell that expresses a T cell receptor complex and has completed T cell selection.,T cell(CL_0000084)
pigment cell(CL_0000147),A pigment cell is a cell that contains pigment granules.,stuff accumulating cell(CL_0000325)
eye photoreceptor cell(CL_0000287),,photoreceptor cell(CL_0000210)
peripheral nervous system neuron(CL_2000032),Any neuron that is part of a peripheral nervous system.,neuron(CL_0000540)
germ line cell(CL_0000039),A cell that is within the developmental lineage of gametes and is able to pass along its genetic material to offspring.|Originally this term had some plant germ line cell children.,native cell(CL_0000003)
keratin accumulating cell(CL_0000311),,stuff accumulating cell(CL_0000325)
stratified squamous epithelial cell(CL_0000240),,squamous epithelial cell(CL_0000076)|stratified epithelial cell(CL_0000079)
general ecto-epithelial cell(CL_0002159),Epithelial cells derived from general body ectoderm and ectoderm placodes.,ecto-epithelial cell(CL_0002077)
duct epithelial cell(CL_0000068),An epithelial cell that is part of a duct.,epithelial cell(CL_0000066)|somatic cell(CL_0002371)
kidney epithelial cell(CL_0002518),An epithelial cell of the kidney.,epithelial cell(CL_0000066)|kidney cell(CL_1000497)
absorptive cell(CL_0000212),A cell that takes up and metabolizes substances.,native cell(CL_0000003)
epithelial cell of alimentary canal(CL_0002251),An epithelial cell of the musculomembranous digestive tube extending from the mouth to the anus.,endo-epithelial cell(CL_0002076)
nucleate cell(CL_0002242),A cell containing at least one nucleus.,native cell(CL_0000003)
urethra cell(CL_1001320),,lower urinary tract cell(CL_1000600)
kidney cortex tubule cell(CL_1000615),,renal cortical epithelial cell(CL_0002584)|kidney tubule cell(CL_1000507)
phagocyte (sensu Nematoda and Protostomia)(CL_0000519),A phagocyte from organisms in the Nematoda or Protostomia clades.,phagocyte(CL_0000234)
hematopoietic lineage restricted progenitor cell(CL_0002031),A hematopoietic progenitor cell that is capable of developing into only one lineage of hematopoietic cells.,hematopoietic precursor cell(CL_0008001)
peptide hormone secreting cell(CL_0000167),,secretory cell(CL_0000151)
epithelial cell of parathyroid gland(CL_0002260),An epithelial cell of the parathyroid gland.,endo-epithelial cell(CL_0002076)|parathyroid glandular cell(CL_1001593)
epithelial cell of stomach(CL_0002178),An epithelial cell found in the lining of the stomach.,epithelial cell of alimentary canal(CL_0002251)
somatostatin secreting cell(CL_0000172),,peptide hormone secreting cell(CL_0000167)
neuroendocrine cell(CL_0000165),An endocrine cell that has the specialized function to produce and secrete hormones in response to neuronal signals.,endocrine cell(CL_0000163)|neurecto-epithelial cell(CL_0000710)|electrically responsive cell(CL_0000393)
electrically active cell(CL_0000211),A cell whose function is determined by the generation or the reception of an electric signal.,native cell(CL_0000003)
stem cell(CL_0000034),A relatively undifferentiated cell that retains the ability to divide and proliferate throughout life to provide progenitor cells that can differentiate into specialized cells.,precursor cell(CL_0011115)
glucagon secreting cell(CL_0000170),A cell that secretes glucagon.,peptide hormone secreting cell(CL_0000167)
polyploid cell(CL_0000412),"A cell whose nucleus, or nuclei, each contain more than two haploid genomes.",native cell(CL_0000003)
goblet cell(CL_0000160),A cell of the epithelial lining that produce and secrete mucins.,mucus secreting cell(CL_0000319)|glandular epithelial cell(CL_0000150)
epithelial fate stem cell(CL_0000036),,single fate stem cell(CL_0000035)
extracellular matrix secreting cell(CL_0000327),,stromal cell(CL_0000499)|secretory cell(CL_0000151)
carbohydrate secreting cell(CL_0000447),,secretory cell(CL_0000151)
multi fate stem cell(CL_0000048),A stem cell that can give rise to multiple lineages of cells.,stem cell(CL_0000034)|somatic cell(CL_0002371)
photoreceptor cell(CL_0000210),A cell specialized to detect and transduce light.,neuronal receptor cell(CL_0000006)
stratified epithelial cell(CL_0000079),,epithelial cell(CL_0000066)|somatic cell(CL_0002371)
kidney cell(CL_1000497),,animal cell(CL_0000548)|somatic cell(CL_0002371)
lower urinary tract cell(CL_1000600),,animal cell(CL_0000548)
renal cortical epithelial cell(CL_0002584),An epithelial cell of the kidney cortex.,kidney cortical cell(CL_0002681)|kidney epithelial cell(CL_0002518)
parathyroid glandular cell(CL_1001593),Glandular cell of parathyroid epithelium. Example: Parathyroid chief cell and parathyroid oxyphil cells.,glandular epithelial cell(CL_0000150)
mucus secreting cell(CL_0000319),,seromucus secreting cell(CL_0000159)
single fate stem cell(CL_0000035),A stem cell that self-renews as well as give rise to a single mature cell type.,somatic stem cell(CL_0000723)
neuronal receptor cell(CL_0000006),,sensory receptor cell(CL_0000197)|sensory neuron(CL_0000101)
kidney cortical cell(CL_0002681),,kidney cell(CL_1000497)
seromucus secreting cell(CL_0000159),,secretory cell(CL_0000151)
sensory receptor cell(CL_0000197),A cell that is capable of detection of a stimulus involved in sensory perception.,native cell(CL_0000003)
sensory neuron(CL_0000101),Any neuron having a sensory function; an afferent neuron conveying sensory impulses.,afferent neuron(CL_0000526)
afferent neuron(CL_0000526),A neuron which conveys sensory information centrally from the periphery.,neuron(CL_0000540)
Unclassified cells,unclassified cell types,native cell(CL_0000003)
